// Co-polarized Raman gain spectrum for SMF fibers
# df	RamanGain
# [ Hz ] [ 1/m/W ]
# PumpWavelength [ nm ] 1500
2.6250E+13	5.48790E-05
2.6300E+13	5.31314E-05
2.6350E+13	5.14263E-05
2.6400E+13	4.97212E-05
2.6450E+13	4.80162E-05
2.6500E+13	4.63111E-05
2.6550E+13	4.46061E-05
2.6600E+13	4.30952E-05
2.6650E+13	4.20888E-05
2.6700E+13	4.10824E-05
2.6750E+13	4.00760E-05
2.6800E+13	3.90696E-05
2.6850E+13	3.80632E-05
2.6900E+13	3.70568E-05
2.6950E+13	3.60504E-05
2.7000E+13	3.50440E-05
2.7050E+13	3.40376E-05
2.7100E+13	3.32802E-05
2.7150E+13	3.26121E-05
2.7200E+13	3.19440E-05
2.7250E+13	3.12759E-05
2.7300E+13	3.07335E-05
2.7350E+13	3.03798E-05
2.7400E+13	3.00261E-05
2.7450E+13	2.96724E-05
2.7500E+13	2.93187E-05
2.7550E+13	2.89650E-05
2.7600E+13	2.86113E-05
2.7650E+13	2.82576E-05
2.7700E+13	2.79039E-05
2.7750E+13	2.75502E-05
2.7800E+13	2.72527E-05
2.7850E+13	2.69645E-05
2.7900E+13	2.66763E-05
2.7950E+13	2.63881E-05
2.8000E+13	2.60998E-05
2.8050E+13	2.58116E-05
2.8100E+13	2.55234E-05
2.8150E+13	2.52352E-05
2.8200E+13	2.49569E-05
2.8250E+13	2.47228E-05
2.8300E+13	2.44886E-05
2.8350E+13	2.42545E-05
2.8400E+13	2.40203E-05
2.8450E+13	2.37862E-05
2.8500E+13	2.35520E-05
2.8550E+13	2.33458E-05
2.8600E+13	2.32264E-05
2.8650E+13	2.31069E-05
2.8700E+13	2.29874E-05
2.8750E+13	2.28680E-05
2.8800E+13	2.27485E-05
2.8850E+13	2.26290E-05
2.8900E+13	2.25096E-05
2.8950E+13	2.25873E-05
2.9000E+13	2.26822E-05
2.9050E+13	2.27771E-05
2.9100E+13	2.28720E-05
2.9150E+13	2.30703E-05
2.9200E+13	2.32720E-05
2.9250E+13	2.34737E-05
2.9300E+13	2.36754E-05
2.9350E+13	2.38237E-05
2.9400E+13	2.39406E-05
2.9450E+13	2.40576E-05
2.9500E+13	2.41745E-05
2.9550E+13	2.42915E-05
2.9600E+13	2.44084E-05
2.9650E+13	2.45254E-05
2.9700E+13	2.47144E-05
2.9750E+13	2.49356E-05
2.9800E+13	2.51568E-05
2.9850E+13	2.53780E-05
2.9900E+13	2.55992E-05
2.9950E+13	2.58204E-05
3.0000E+13	2.60416E-05
3.0050E+13	2.65335E-05
3.0100E+13	2.71146E-05
3.0150E+13	2.76957E-05
3.0200E+13	2.82768E-05
3.0250E+13	2.88579E-05
3.0300E+13	2.94390E-05
3.0350E+13	2.99327E-05
3.0400E+13	3.03852E-05
3.0450E+13	3.08377E-05
3.0500E+13	3.12902E-05
3.0550E+13	3.17849E-05
3.0600E+13	3.23998E-05
3.0650E+13	3.30147E-05
3.0700E+13	3.36296E-05
3.0750E+13	3.42445E-05
3.0800E+13	3.48594E-05
3.0850E+13	3.54674E-05
3.0900E+13	3.60572E-05
3.0950E+13	3.66469E-05
3.1000E+13	3.72367E-05
3.1050E+13	3.78264E-05
3.1100E+13	3.84357E-05
3.1150E+13	3.93206E-05
3.1200E+13	4.02055E-05
3.1250E+13	4.10905E-05
3.1300E+13	4.19754E-05
3.1350E+13	4.28604E-05
3.1400E+13	4.39996E-05
3.1450E+13	4.51795E-05
3.1500E+13	4.63594E-05
3.1550E+13	4.75393E-05
3.1600E+13	4.87192E-05
3.1650E+13	4.98213E-05
3.1700E+13	5.08829E-05
3.1750E+13	5.19446E-05
3.1800E+13	5.30062E-05
3.1850E+13	5.38090E-05
3.1900E+13	5.40619E-05
3.1950E+13	5.43148E-05
3.2000E+13	5.45677E-05
3.2050E+13	5.48206E-05
3.2100E+13	5.50735E-05
3.2150E+13	5.52078E-05
3.2200E+13	5.49866E-05
3.2250E+13	5.47655E-05
3.2300E+13	5.45443E-05
3.2350E+13	5.43231E-05
3.2400E+13	5.41019E-05
3.2450E+13	5.38807E-05
3.2500E+13	5.35452E-05
3.2550E+13	5.29553E-05
3.2600E+13	5.23653E-05
3.2650E+13	5.17753E-05
3.2700E+13	5.11853E-05
3.2750E+13	5.05453E-05
3.2800E+13	4.94837E-05
3.2850E+13	4.84221E-05
3.2900E+13	4.73605E-05
3.2950E+13	4.62989E-05
3.3000E+13	4.57807E-05
3.3050E+13	4.54267E-05
3.3100E+13	4.50726E-05
3.3150E+13	4.47186E-05
3.3200E+13	4.41354E-05
3.3250E+13	4.32507E-05
3.3300E+13	4.23661E-05
3.3350E+13	4.14815E-05
3.3400E+13	4.05969E-05
3.3450E+13	3.96689E-05
3.3500E+13	3.85923E-05
